Gene	sgRNA	eff
CREB5_ENST00000357727.2	CREB5_-_28452296.23-ENST00000357727.2_4	1
CREB5_ENST00000357727.2	CREB5_-_28452134.23-ENST00000357727.2_5	1
CREB5_ENST00000357727.2	CREB5_-_28452310.23-ENST00000357727.2_2	1
CREB5_ENST00000357727.2	CREB5_-_28452323.23-ENST00000357727.2_1	1
HOXC8_P1P2	HOXC8_-_54402759.23-P1P2_5	1
HOXC8_P1P2	HOXC8_+_54402867.23-P1P2_3	1
HOXC8_P1P2	HOXC8_-_54402749.23-P1P2_4	1
HOXC8_P1P2	HOXC8_-_54402805.23-P1P2_2	1
HOXC8_P1P2	HOXC8_+_54402790.23-P1P2_1	1
METTL6_P1P2	METTL6_+_15468972.23-P1P2_4	1
METTL6_P1P2	METTL6_+_15468790.23-P1P2_5	1
METTL6_P1P2	METTL6_-_15469006.23-P1P2_2	1
METTL6_P1P2	METTL6_+_15469002.23-P1P2_3	1
METTL6_P1P2	METTL6_-_15468948.23-P1P2_1	1
HIST1H4D_ENST00000340756.2	HIST1H4D_-_26189463.23-ENST00000340756.2_3	1
HIST1H4D_ENST00000340756.2	HIST1H4D_+_26189415.23-ENST00000340756.2_2	1
HIST1H4D_ENST00000340756.2	HIST1H4D_-_26189479.23-ENST00000340756.2_1	1
HIST1H4D_ENST00000340756.2	HIST1H4D_+_26189427.23-ENST00000340756.2_5	1
HIST1H4D_ENST00000340756.2	HIST1H4D_+_26189281.23-ENST00000340756.2_4	1
BCL11A_P1P2	BCL11A_-_60780603.23-P1P2_4	1
BCL11A_P1P2	BCL11A_-_60780590.23-P1P2_1	1
BCL11A_P1P2	BCL11A_-_60780497.23-P1P2_5	1
BCL11A_P1P2	BCL11A_-_60780410.23-P1P2_3	1
BCL11A_P1P2	BCL11A_-_60780738.23-P1P2_2	1
TAF1D_P2	TAF1D_+_93471338.23-P2_2	1
TAF1D_P2	TAF1D_+_93471344.23-P2_4	1
TAF1D_P2	TAF1D_+_93471182.23-P2_3	1
TAF1D_P2	TAF1D_-_93471390.23-P2_1	1
TAF1D_P2	TAF1D_-_93471031.23-P2_5	1
TRIM40_P1P2	TRIM40_+_30103926.23-P1P2_5	1
TRIM40_P1P2	TRIM40_-_30104310.23-P1P2_1	1
TRIM40_P1P2	TRIM40_-_30104225.23-P1P2_4	1
TRIM40_P1P2	TRIM40_-_30103923.23-P1P2_3	1
TRIM40_P1P2	TRIM40_-_30104023.23-P1P2_2	1
ZRANB2_P1P2	ZRANB2_+_71546644.23-P1P2_3	1
ZRANB2_P1P2	ZRANB2_-_71546722.23-P1P2_1	1
ZRANB2_P1P2	ZRANB2_-_71546527.23-P1P2_2	1
ZRANB2_P1P2	ZRANB2_-_71546670.23-P1P2_5	1
ZRANB2_P1P2	ZRANB2_+_71546702.23-P1P2_4	1
SMC4_P2	SMC4_-_160122169.23-P2_2	1
SMC4_P2	SMC4_+_160122139.23-P2_4	1
SMC4_P2	SMC4_+_160122249.23-P2_3	1
SMC4_P2	SMC4_-_160122206.23-P2_1	1
SMC4_P2	SMC4_-_160122616.23-P2_5	1
SP9_P1P2	SP9_-_175199907.23-P1P2_1	1
SP9_P1P2	SP9_-_175199714.23-P1P2_3	1
SP9_P1P2	SP9_-_175199839.23-P1P2_2	1
SP9_P1P2	SP9_+_175199699.23-P1P2_4	1
SP9_P1P2	SP9_-_175199678.23-P1P2_5	1
ZEB2_P2	ZEB2_+_145275153.23-P2_5	1
ZEB2_P2	ZEB2_-_145275118.23-P2_2	1
ZEB2_P2	ZEB2_-_145275121.23-P2_1	1
ZEB2_P2	ZEB2_+_145275142.23-P2_3	1
ZEB2_P2	ZEB2_+_145275102.23-P2_4	1
YAF2_P1P2	YAF2_+_42632012.23-P1P2_1	1
YAF2_P1P2	YAF2_-_42631820.23-P1P2_5	1
YAF2_P1P2	YAF2_-_42631964.23-P1P2_4	1
YAF2_P1P2	YAF2_-_42631840.23-P1P2_3	1
YAF2_P1P2	YAF2_+_42631978.23-P1P2_2	1
ZNF471_P1P2	ZNF471_+_57019273.23-P1P2_2	1
ZNF471_P1P2	ZNF471_-_57019282.23-P1P2_3	1
ZNF471_P1P2	ZNF471_-_57019270.23-P1P2_1	1
ZNF471_P1P2	ZNF471_-_57019255.23-P1P2_4	1
ZNF471_P1P2	ZNF471_-_57019288.23-P1P2_5	1
RXRB_P1P2	RXRB_+_33168411.23-P1P2_2	1
RXRB_P1P2	RXRB_-_33168261.23-P1P2_5	1
RXRB_P1P2	RXRB_-_33168226.23-P1P2_4	1
RXRB_P1P2	RXRB_+_33168378.23-P1P2_1	1
RXRB_P1P2	RXRB_-_33168450.23-P1P2_3	1
ZBED4_P1P2	ZBED4_-_50247573.23-P1P2_5	1
ZBED4_P1P2	ZBED4_+_50247558.23-P1P2_1	1
ZBED4_P1P2	ZBED4_+_50247478.23-P1P2_4	1
ZBED4_P1P2	ZBED4_-_50247504.23-P1P2_2	1
ZBED4_P1P2	ZBED4_+_50247588.23-P1P2_3	1
TGIF1_P1P2	TGIF1_-_3450229.23-P1P2_3	1
TGIF1_P1P2	TGIF1_-_3450224.23-P1P2_2	1
TGIF1_P1P2	TGIF1_-_3450214.23-P1P2_1	1
TGIF1_P1P2	TGIF1_+_3450419.23-P1P2_5	1
TGIF1_P1P2	TGIF1_-_3450206.23-P1P2_4	1
ZNF534_P1P2	ZNF534_+_52932491.23-P1P2_2	1
ZNF534_P1P2	ZNF534_+_52932446.23-P1P2_5	1
ZNF534_P1P2	ZNF534_+_52932668.23-P1P2_4	1
ZNF534_P1P2	ZNF534_-_52932422.23-P1P2_1	1
ZNF534_P1P2	ZNF534_-_52932803.23-P1P2_3	1
CDYL_P2	CDYL_-_4773412.23-P2_3	1
CDYL_P2	CDYL_-_4773572.23-P2_4	1
CDYL_P2	CDYL_+_4773556.23-P2_5	1
CDYL_P2	CDYL_+_4773335.23-P2_2	1
CDYL_P2	CDYL_-_4773285.23-P2_1	1
KAT6B_P1P2	KAT6B_-_76586407.23-P1P2_3	1
KAT6B_P1P2	KAT6B_-_76586410.23-P1P2_2	1
KAT6B_P1P2	KAT6B_-_76586759.23-P1P2_5	1
KAT6B_P1P2	KAT6B_-_76586396.23-P1P2_1	1
KAT6B_P1P2	KAT6B_-_76586585.23-P1P2_4	1
CNOT2_P1P2	CNOT2_-_70637022.23-P1P2_2	1
CNOT2_P1P2	CNOT2_-_70637031.23-P1P2_4	1
CNOT2_P1P2	CNOT2_+_70636979.23-P1P2_1	1
CNOT2_P1P2	CNOT2_+_70637208.23-P1P2_5	1
CNOT2_P1P2	CNOT2_+_70637225.23-P1P2_3	1
HDGFRP2_P2	HDGFRP2_-_4488844.23-P2_2	1
HDGFRP2_P2	HDGFRP2_+_4488913.23-P2_1	1
HDGFRP2_P2	HDGFRP2_-_4488774.23-P2_5	1
HDGFRP2_P2	HDGFRP2_-_4488893.23-P2_3	1
HDGFRP2_P2	HDGFRP2_+_4488790.23-P2_4	1
RFX5_P1P2	RFX5_-_151319669.23-P1P2_5	1
RFX5_P1P2	RFX5_+_151319727.23-P1P2_4	1
RFX5_P1P2	RFX5_+_151319704.23-P1P2_3	1
RFX5_P1P2	RFX5_-_151319513.23-P1P2_2	1
RFX5_P1P2	RFX5_+_151319685.23-P1P2_1	1
ZEB1_P1	ZEB1_-_31608169.23-P1_2	1
ZEB1_P1	ZEB1_-_31608210.23-P1_4	1
ZEB1_P1	ZEB1_-_31608221.23-P1_5	1
ZEB1_P1	ZEB1_-_31608166.23-P1_3	1
ZEB1_P1	ZEB1_-_31608231.23-P1_1	1
PKNOX1_P1P2	PKNOX1_+_44394727.23-P1P2_1	1
PKNOX1_P1P2	PKNOX1_-_44394704.23-P1P2_2	1
PKNOX1_P1P2	PKNOX1_+_44394825.23-P1P2_5	1
PKNOX1_P1P2	PKNOX1_+_44394903.23-P1P2_4	1
PKNOX1_P1P2	PKNOX1_+_44394769.23-P1P2_3	1
TRIM14_P1P2	TRIM14_-_100881441.23-P1P2_2	1
TRIM14_P1P2	TRIM14_+_100881491.23-P1P2_5	1
TRIM14_P1P2	TRIM14_+_100881427.23-P1P2_3	1
TRIM14_P1P2	TRIM14_-_100881520.23-P1P2_1	1
TRIM14_P1P2	TRIM14_-_100881508.23-P1P2_4	1
ZFHX2_P2	ZFHX2_+_24025063.23-P2_4	1
ZFHX2_P2	ZFHX2_+_24024914.23-P2_3	1
ZFHX2_P2	ZFHX2_+_24025088.23-P2_5	1
ZFHX2_P2	ZFHX2_+_24025076.23-P2_1	1
ZFHX2_P2	ZFHX2_-_24025118.23-P2_2	1
MEIS3_P1	MEIS3_+_47922768.23-P1_4	1
MEIS3_P1	MEIS3_+_47922412.23-P1_5	1
MEIS3_P1	MEIS3_-_47922735.23-P1_2	1
MEIS3_P1	MEIS3_-_47922702.23-P1_1	1
MEIS3_P1	MEIS3_-_47922692.23-P1_3	1
SMC1B_P1P2	SMC1B_-_45809130.23-P1P2_5	1
SMC1B_P1P2	SMC1B_+_45809469.23-P1P2_2	1
SMC1B_P1P2	SMC1B_-_45809096.23-P1P2_4	1
SMC1B_P1P2	SMC1B_+_45809456.23-P1P2_1	1
SMC1B_P1P2	SMC1B_+_45809459.23-P1P2_3	1
RXRA_P1P2	RXRA_-_137218315.23-P1P2_2	1
RXRA_P1P2	RXRA_+_137218631.23-P1P2_5	1
RXRA_P1P2	RXRA_-_137218681.23-P1P2_3	1
RXRA_P1P2	RXRA_+_137218484.23-P1P2_4	1
RXRA_P1P2	RXRA_-_137218345.23-P1P2_1	1
FOXP1_ENST00000493089.1	FOXP1_-_71632926.23-ENST00000493089.1_5	1
FOXP1_ENST00000493089.1	FOXP1_+_71632918.23-ENST00000493089.1_1	1
FOXP1_ENST00000493089.1	FOXP1_+_71632915.23-ENST00000493089.1_3	1
FOXP1_ENST00000493089.1	FOXP1_-_71632959.23-ENST00000493089.1_2	1
FOXP1_ENST00000493089.1	FOXP1_+_71632923.23-ENST00000493089.1_4	1
ZNF705G_ENST00000400078.2	ZNF705G_-_7220060.23-ENST00000400078.2_3	1
ZNF705G_ENST00000400078.2	ZNF705G_-_7220078.23-ENST00000400078.2_1	1
ZNF705G_ENST00000400078.2	ZNF705G_-_7220324.23-ENST00000400078.2_5	1
ZNF705G_ENST00000400078.2	ZNF705G_-_7220274.23-ENST00000400078.2_2	1
ZNF705G_ENST00000400078.2	ZNF705G_-_7220327.23-ENST00000400078.2_4	1
DDX47_P1P2	DDX47_+_12966332.23-P1P2_3	1
DDX47_P1P2	DDX47_-_12966316.23-P1P2_5	1
DDX47_P1P2	DDX47_-_12966304.23-P1P2_4	1
DDX47_P1P2	DDX47_-_12966307.23-P1P2_1	1
DDX47_P1P2	DDX47_+_12966328.23-P1P2_2	1
RPS14_P1P2	RPS14_+_149829225.23-P1P2_3	1
RPS14_P1P2	RPS14_+_149829238.23-P1P2_4	1
RPS14_P1P2	RPS14_+_149829235.23-P1P2_2	1
RPS14_P1P2	RPS14_+_149829260.23-P1P2_1	1
RPS14_P1P2	RPS14_+_149829264.23-P1P2_5	1
MYT1L_P1P2	MYT1L_-_2334988.23-P1P2_1	1
MYT1L_P1P2	MYT1L_+_2334982.23-P1P2_3	1
MYT1L_P1P2	MYT1L_-_2335111.23-P1P2_4	1
MYT1L_P1P2	MYT1L_-_2334818.23-P1P2_5	1
MYT1L_P1P2	MYT1L_-_2335009.23-P1P2_2	1
LDB1_P2	LDB1_-_103874685.23-P2_3	1
LDB1_P2	LDB1_-_103874762.23-P2_5	1
LDB1_P2	LDB1_-_103874770.23-P2_2	1
LDB1_P2	LDB1_+_103874728.23-P2_1	1
LDB1_P2	LDB1_-_103874487.23-P2_4	1
PHIP_P1P2	PHIP_+_79787859.23-P1P2_3	1
PHIP_P1P2	PHIP_+_79787849.23-P1P2_5	1
PHIP_P1P2	PHIP_+_79787888.23-P1P2_4	1
PHIP_P1P2	PHIP_+_79787901.23-P1P2_1	1
PHIP_P1P2	PHIP_-_79787921.23-P1P2_2	1
TASP1_P1P2	TASP1_-_13619496.23-P1P2_5	1
TASP1_P1P2	TASP1_+_13619556.23-P1P2_4	1
TASP1_P1P2	TASP1_-_13619364.23-P1P2_2	1
TASP1_P1P2	TASP1_-_13619530.23-P1P2_1	1
TASP1_P1P2	TASP1_+_13619539.23-P1P2_3	1
PTBP1_P1P2	PTBP1_+_797472.23-P1P2_3	1
PTBP1_P1P2	PTBP1_+_797463.23-P1P2_2	1
PTBP1_P1P2	PTBP1_+_797431.23-P1P2_4	1
PTBP1_P1P2	PTBP1_+_797495.23-P1P2_5	1
PTBP1_P1P2	PTBP1_-_797438.23-P1P2_1	1
ZNF547_P1P2	ZNF547_-_57874958.23-P1P2_2	1
ZNF547_P1P2	ZNF547_+_57875022.23-P1P2_5	1
ZNF547_P1P2	ZNF547_-_57875074.23-P1P2_4	1
ZNF547_P1P2	ZNF547_+_57875031.23-P1P2_3	1
ZNF547_P1P2	ZNF547_-_57874943.23-P1P2_1	1
TBX4_P1	TBX4_+_59529775.23-P1_3	1
TBX4_P1	TBX4_+_59529827.23-P1_4	1
TBX4_P1	TBX4_+_59529758.23-P1_5	1
TBX4_P1	TBX4_-_59529809.23-P1_1	1
TBX4_P1	TBX4_-_59529773.23-P1_2	1
G3BP1_P1P2	G3BP1_+_151151589.23-P1P2_5	1
G3BP1_P1P2	G3BP1_-_151151664.23-P1P2_2	1
G3BP1_P1P2	G3BP1_+_151151627.23-P1P2_1	1
G3BP1_P1P2	G3BP1_-_151151536.23-P1P2_4	1
G3BP1_P1P2	G3BP1_-_151151499.23-P1P2_3	1
ZNF26_P1P2	ZNF26_+_133563011.23-P1P2_4	1
ZNF26_P1P2	ZNF26_+_133563034.23-P1P2_5	1
ZNF26_P1P2	ZNF26_-_133563014.23-P1P2_1	1
ZNF26_P1P2	ZNF26_-_133563021.23-P1P2_2	1
ZNF26_P1P2	ZNF26_-_133563038.23-P1P2_3	1
ZNF879_P1P2	ZNF879_+_178450850.23-P1P2_1	1
ZNF879_P1P2	ZNF879_+_178450857.23-P1P2_2	1
ZNF879_P1P2	ZNF879_-_178450911.23-P1P2_3	1
ZNF879_P1P2	ZNF879_-_178450845.23-P1P2_4	1
ZNF879_P1P2	ZNF879_-_178450868.23-P1P2_5	1
SMARCC1_P1P2	SMARCC1_+_47823316.23-P1P2_4	1
SMARCC1_P1P2	SMARCC1_+_47822975.23-P1P2_3	1
SMARCC1_P1P2	SMARCC1_+_47823326.23-P1P2_5	1
SMARCC1_P1P2	SMARCC1_+_47823295.23-P1P2_1	1
SMARCC1_P1P2	SMARCC1_+_47823340.23-P1P2_2	1
DNAJA1_P2	DNAJA1_+_33027116.23-P2_5	1
DNAJA1_P2	DNAJA1_+_33027106.23-P2_3	1
DNAJA1_P2	DNAJA1_-_33027034.23-P2_4	1
DNAJA1_P2	DNAJA1_-_33027087.23-P2_2	1
DNAJA1_P2	DNAJA1_-_33026888.23-P2_1	1
ZNF41_P1P2	ZNF41_+_47342585.23-P1P2_3	1
ZNF41_P1P2	ZNF41_+_47342573.23-P1P2_4	1
ZNF41_P1P2	ZNF41_+_47342568.23-P1P2_2	1
ZNF41_P1P2	ZNF41_-_47342102.23-P1P2_1	1
ZNF41_P1P2	ZNF41_+_47342371.23-P1P2_5	1
ZNF708_P1P2	ZNF708_+_21512184.23-P1P2_1	1
ZNF708_P1P2	ZNF708_-_21511694.23-P1P2_5	1
ZNF708_P1P2	ZNF708_-_21512142.23-P1P2_2	1
ZNF708_P1P2	ZNF708_+_21512194.23-P1P2_4	1
ZNF708_P1P2	ZNF708_-_21512092.23-P1P2_3	1
MDC1_P1P2	MDC1_+_30685062.23-P1P2_5	1
MDC1_P1P2	MDC1_-_30685055.23-P1P2_4	1
MDC1_P1P2	MDC1_+_30685020.23-P1P2_3	1
MDC1_P1P2	MDC1_-_30685387.23-P1P2_2	1
MDC1_P1P2	MDC1_-_30685505.23-P1P2_1	1
ARHGEF10L_P1P2	ARHGEF10L_+_17866471.23-P1P2_3	1
ARHGEF10L_P1P2	ARHGEF10L_+_17866293.23-P1P2_2	1
ARHGEF10L_P1P2	ARHGEF10L_+_17866474.23-P1P2_4	1
ARHGEF10L_P1P2	ARHGEF10L_+_17866397.23-P1P2_5	1
ARHGEF10L_P1P2	ARHGEF10L_-_17866424.23-P1P2_1	1
IL26_P1P2	IL26_+_68619538.23-P1P2_3	1
IL26_P1P2	IL26_+_68619574.23-P1P2_2	1
IL26_P1P2	IL26_-_68619606.23-P1P2_4	1
IL26_P1P2	IL26_+_68619545.23-P1P2_1	1
IL26_P1P2	IL26_-_68619594.23-P1P2_5	1
ZNF626_P1P2	ZNF626_-_20844329.23-P1P2_2	1
ZNF626_P1P2	ZNF626_+_20844392.23-P1P2_5	1
ZNF626_P1P2	ZNF626_+_20844324.23-P1P2_3	1
ZNF626_P1P2	ZNF626_-_20843995.23-P1P2_4	1
ZNF626_P1P2	ZNF626_-_20844354.23-P1P2_1	1
SFMBT2_P1	SFMBT2_+_7453409.23-P1_4	1
SFMBT2_P1	SFMBT2_-_7453367.23-P1_2	1
SFMBT2_P1	SFMBT2_+_7453450.23-P1_3	1
SFMBT2_P1	SFMBT2_+_7453197.23-P1_1	1
SFMBT2_P1	SFMBT2_+_7453001.23-P1_5	1
NOL8_P1P2	NOL8_+_95087620.23-P1P2_2	1
NOL8_P1P2	NOL8_+_95087642.23-P1P2_4	1
NOL8_P1P2	NOL8_-_95087887.23-P1P2_5	1
NOL8_P1P2	NOL8_+_95087586.23-P1P2_1	1
NOL8_P1P2	NOL8_+_95087581.23-P1P2_3	1
UNCX_P1P2	UNCX_+_1272731.23-P1P2_5	1
UNCX_P1P2	UNCX_+_1272742.23-P1P2_4	1
UNCX_P1P2	UNCX_+_1272543.23-P1P2_1	1
UNCX_P1P2	UNCX_-_1272539.23-P1P2_2	1
UNCX_P1P2	UNCX_+_1272724.23-P1P2_3	1
TAF8_P1P2	TAF8_-_42018282.23-P1P2_5	1
TAF8_P1P2	TAF8_-_42018291.23-P1P2_3	1
TAF8_P1P2	TAF8_+_42018316.23-P1P2_2	1
TAF8_P1P2	TAF8_-_42018334.23-P1P2_4	1
TAF8_P1P2	TAF8_-_42018330.23-P1P2_1	1
NOBOX_ENST00000223140.5	NOBOX_-_144100762.23-ENST00000223140.5_5	1
NOBOX_ENST00000223140.5	NOBOX_+_144100748.23-ENST00000223140.5_2	1
NOBOX_ENST00000223140.5	NOBOX_+_144100718.23-ENST00000223140.5_3	1
NOBOX_ENST00000223140.5	NOBOX_+_144100782.23-ENST00000223140.5_4	1
NOBOX_ENST00000223140.5	NOBOX_-_144100755.23-ENST00000223140.5_1	1
PRRC2C_P1P2	PRRC2C_-_171454879.23-P1P2_2	1
PRRC2C_P1P2	PRRC2C_+_171454700.23-P1P2_4	1
PRRC2C_P1P2	PRRC2C_-_171454729.23-P1P2_3	1
PRRC2C_P1P2	PRRC2C_-_171454708.23-P1P2_5	1
PRRC2C_P1P2	PRRC2C_-_171454889.23-P1P2_1	1
ZNF232_P1	ZNF232_-_5015107.23-P1_5	1
ZNF232_P1	ZNF232_-_5015110.23-P1_2	1
ZNF232_P1	ZNF232_+_5015139.23-P1_3	1
ZNF232_P1	ZNF232_+_5015127.23-P1_4	1
ZNF232_P1	ZNF232_-_5015121.23-P1_1	1
ZNF777_P1P2	ZNF777_-_149157742.23-P1P2_5	1
ZNF777_P1P2	ZNF777_+_149157982.23-P1P2_4	1
ZNF777_P1P2	ZNF777_+_149157921.23-P1P2_1	1
ZNF777_P1P2	ZNF777_+_149157897.23-P1P2_3	1
ZNF777_P1P2	ZNF777_-_149157935.23-P1P2_2	1
HELT_P1P2	HELT_-_185940022.23-P1P2_4	1
HELT_P1P2	HELT_+_185940054.23-P1P2_3	1
HELT_P1P2	HELT_-_185940013.23-P1P2_1	1
HELT_P1P2	HELT_-_185939827.23-P1P2_2	1
HELT_P1P2	HELT_-_185939984.23-P1P2_5	1
DMRTC1_ENST00000373529.5	DMRTC1_-_72095744.23-ENST00000373529.5_1	1
DMRTC1_ENST00000373529.5	DMRTC1_+_72095781.23-ENST00000373529.5_5	1
DMRTC1_ENST00000373529.5	DMRTC1_-_72095771.23-ENST00000373529.5_3	1
DMRTC1_ENST00000373529.5	DMRTC1_+_72095760.23-ENST00000373529.5_2	1
DMRTC1_ENST00000373529.5	DMRTC1_-_72095789.23-ENST00000373529.5_4	1
TFAP2A_P1	TFAP2A_+_10412369.23-P1_2	1
TFAP2A_P1	TFAP2A_+_10412180.23-P1_4	1
TFAP2A_P1	TFAP2A_-_10412496.23-P1_3	1
TFAP2A_P1	TFAP2A_+_10412563.23-P1_1	1
TFAP2A_P1	TFAP2A_-_10412405.23-P1_5	1
ZNF155_P1P2	ZNF155_-_44488386.23-P1P2_1	1
ZNF155_P1P2	ZNF155_+_44488537.23-P1P2_3	1
ZNF155_P1P2	ZNF155_-_44488587.23-P1P2_5	1
ZNF155_P1P2	ZNF155_+_44488393.23-P1P2_2	1
ZNF155_P1P2	ZNF155_+_44488356.23-P1P2_4	1
HOXC12_P1P2	HOXC12_+_54348911.23-P1P2_2	1
HOXC12_P1P2	HOXC12_+_54348738.23-P1P2_5	1
HOXC12_P1P2	HOXC12_+_54348940.23-P1P2_3	1
HOXC12_P1P2	HOXC12_-_54348717.23-P1P2_1	1
HOXC12_P1P2	HOXC12_-_54348701.23-P1P2_4	1
TDG_P1P2	TDG_-_104359643.23-P1P2_5	1
TDG_P1P2	TDG_+_104359695.23-P1P2_2	1
TDG_P1P2	TDG_+_104359678.23-P1P2_1	1
TDG_P1P2	TDG_-_104359661.23-P1P2_4	1
TDG_P1P2	TDG_-_104359705.23-P1P2_3	1
ZNF816_P2	ZNF816_-_53445756.23-P2_4	1
ZNF816_P2	ZNF816_+_53445643.23-P2_2	1
ZNF816_P2	ZNF816_-_53445804.23-P2_3	1
ZNF816_P2	ZNF816_+_53445829.23-P2_5	1
ZNF816_P2	ZNF816_+_53445793.23-P2_1	1
DEPDC1_P1P2	DEPDC1_+_68962668.23-P1P2_5	1
DEPDC1_P1P2	DEPDC1_-_68962711.23-P1P2_4	1
DEPDC1_P1P2	DEPDC1_-_68962714.23-P1P2_1	1
DEPDC1_P1P2	DEPDC1_-_68962684.23-P1P2_2	1
DEPDC1_P1P2	DEPDC1_-_68962702.23-P1P2_3	1
INTS12_P1P2	INTS12_+_106629802.23-P1P2_1	1
INTS12_P1P2	INTS12_+_106629811.23-P1P2_3	1
INTS12_P1P2	INTS12_-_106629610.23-P1P2_5	1
INTS12_P1P2	INTS12_-_106629841.23-P1P2_2	1
INTS12_P1P2	INTS12_+_106629806.23-P1P2_4	1
ELK3_P1P2	ELK3_-_96588247.23-P1P2_3	1
ELK3_P1P2	ELK3_-_96588495.23-P1P2_1	1
ELK3_P1P2	ELK3_+_96588238.23-P1P2_4	1
ELK3_P1P2	ELK3_+_96588271.23-P1P2_5	1
ELK3_P1P2	ELK3_-_96588427.23-P1P2_2	1
GTF2F1_P1P2	GTF2F1_+_6393093.23-P1P2_4	1
GTF2F1_P1P2	GTF2F1_+_6393134.23-P1P2_3	1
GTF2F1_P1P2	GTF2F1_+_6393090.23-P1P2_5	1
GTF2F1_P1P2	GTF2F1_-_6393140.23-P1P2_1	1
GTF2F1_P1P2	GTF2F1_+_6393129.23-P1P2_2	1
TRIM16_P1P2	TRIM16_-_15587563.23-P1P2_1	1
TRIM16_P1P2	TRIM16_-_15587626.23-P1P2_2	1
TRIM16_P1P2	TRIM16_+_15587256.23-P1P2_3	1
TRIM16_P1P2	TRIM16_+_15587119.23-P1P2_5	1
TRIM16_P1P2	TRIM16_+_15587114.23-P1P2_4	1
ZNF595_P1	ZNF595_+_53302.23-P1_2	1
ZNF595_P1	ZNF595_+_53308.23-P1_1	1
ZNF595_P1	ZNF595_-_53249.23-P1_5	1
ZNF595_P1	ZNF595_+_53274.23-P1_3	1
ZNF595_P1	ZNF595_-_53281.23-P1_4	1
PPARGC1A_P1	PPARGC1A_-_23891653.23-P1_4	1
PPARGC1A_P1	PPARGC1A_+_23891688.23-P1_3	1
PPARGC1A_P1	PPARGC1A_+_23891410.23-P1_1	1
PPARGC1A_P1	PPARGC1A_+_23891515.23-P1_2	1
PPARGC1A_P1	PPARGC1A_+_23891662.23-P1_5	1
ANAPC2_P1P2	ANAPC2_-_140082796.23-P1P2_1	1
ANAPC2_P1P2	ANAPC2_+_140082989.23-P1P2_3	1
ANAPC2_P1P2	ANAPC2_+_140082980.23-P1P2_5	1
ANAPC2_P1P2	ANAPC2_-_140082803.23-P1P2_2	1
ANAPC2_P1P2	ANAPC2_+_140082993.23-P1P2_4	1
ZNF765_P1	ZNF765_+_53898440.23-P1_1	1
ZNF765_P1	ZNF765_+_53898760.23-P1_5	1
ZNF765_P1	ZNF765_-_53898445.23-P1_3	1
ZNF765_P1	ZNF765_+_53898437.23-P1_2	1
ZNF765_P1	ZNF765_+_53898776.23-P1_4	1
KDM1A_P1P2	KDM1A_-_23346064.23-P1P2_3	1
KDM1A_P1P2	KDM1A_-_23346190.23-P1P2_5	1
KDM1A_P1P2	KDM1A_-_23346055.23-P1P2_4	1
KDM1A_P1P2	KDM1A_-_23346012.23-P1P2_1	1
KDM1A_P1P2	KDM1A_-_23345982.23-P1P2_2	1
FGF10_P1P2	FGF10_+_44389780.23-P1P2_5	1
FGF10_P1P2	FGF10_+_44389740.23-P1P2_1	1
FGF10_P1P2	FGF10_-_44389655.23-P1P2_4	1
FGF10_P1P2	FGF10_+_44389472.23-P1P2_2	1
FGF10_P1P2	FGF10_-_44389328.23-P1P2_3	1
TNFRSF11A_P1P2	TNFRSF11A_-_59992561.23-P1P2_3	1
TNFRSF11A_P1P2	TNFRSF11A_+_59992608.23-P1P2_1	1
TNFRSF11A_P1P2	TNFRSF11A_-_59992546.23-P1P2_2	1
TNFRSF11A_P1P2	TNFRSF11A_-_59992804.23-P1P2_5	1
TNFRSF11A_P1P2	TNFRSF11A_-_59992588.23-P1P2_4	1
CBX6_P1P2	CBX6_-_39267978.23-P1P2_4	1
CBX6_P1P2	CBX6_+_39268209.23-P1P2_2	1
CBX6_P1P2	CBX6_-_39268249.23-P1P2_3	1
CBX6_P1P2	CBX6_+_39268216.23-P1P2_1	1
CBX6_P1P2	CBX6_+_39268241.23-P1P2_5	1
KMT2D_P1P2	KMT2D_+_49426871.23-P1P2_1	1
KMT2D_P1P2	KMT2D_+_49426941.23-P1P2_4	1
KMT2D_P1P2	KMT2D_-_49426866.23-P1P2_5	1
KMT2D_P1P2	KMT2D_+_49426876.23-P1P2_2	1
KMT2D_P1P2	KMT2D_+_49426934.23-P1P2_3	1
ZNF705B_ENST00000400120.3	ZNF705B_-_7783899.23-ENST00000400120.3_5	1
ZNF705B_ENST00000400120.3	ZNF705B_-_7783960.23-ENST00000400120.3_3	1
ZNF705B_ENST00000400120.3	ZNF705B_-_7783956.23-ENST00000400120.3_2	1
ZNF705B_ENST00000400120.3	ZNF705B_+_7783927.23-ENST00000400120.3_4	1
ZNF705B_ENST00000400120.3	ZNF705B_-_7783945.23-ENST00000400120.3_1	1
ZNF705G_ENST00000400156.4	ZNF705G_+_7243038.23-ENST00000400156.4_5	1
ZNF705G_ENST00000400156.4	ZNF705G_+_7242980.23-ENST00000400156.4_1	1
ZNF705G_ENST00000400156.4	ZNF705G_+_7242976.23-ENST00000400156.4_2	1
ZNF705G_ENST00000400156.4	ZNF705G_+_7242973.23-ENST00000400156.4_3	1
ZNF705G_ENST00000400156.4	ZNF705G_-_7243010.23-ENST00000400156.4_4	1
AGT_P1P2	AGT_+_230849819.23-P1P2_1	1
AGT_P1P2	AGT_-_230849679.23-P1P2_4	1
